city,state,population
Aberdeen ,SD,"24,460"
Abilene ,TX,"116,484"
Addison,IL,"36,917"
Adelanto ,CA,"28,553"
Agawam ,MA,"28,091"
Aiken ,SC,"29,434"
Akron ,OH,"207,510"
Alabaster ,AL,"29,352"
Alameda ,CA,"70,580"
Alamogordo ,NM,"35,757"
Albany ,NY,"93,539"
Albuquerque ,NM,"521,999"
Alexandria ,VA,"143,885"
Algonquin,IL,"30,352"
Alhambra ,CA,"85,953"
Aliso Viejo ,CA,"41,572"
Allen ,TX,"81,268"
Allen Park ,MI,"26,014"
Allentown ,PA,"107,250"
Alpharetta ,GA,"49,903"
Altamonte Springs ,FL,"39,947"
Alton ,IL,"29,393"
Altoona ,PA,"46,144"
Amarillo ,TX,"187,236"
American Fork ,UT,"27,064"
Ames ,IA,"56,510"
Anaheim ,CA,"335,288"
Anchorage,AK,"279,243"
Anderson ,IN,"57,282"
Andover ,MN,"30,442"
Ankeny ,IA,"42,287"
Ann Arbor ,MI,"114,386"
Annapolis ,MD,"36,524"
Anniston ,AL,"23,662"
Antioch ,CA,"100,219"
Apache Junction ,AZ,"32,776"
Apex,NC,"33,075"
Apopka ,FL,"37,935"
Apple Valley,CA,"70,200"
Apple Valley ,MN,"50,004"
Appleton ,WI,"70,305"
Arcadia ,CA,"56,248"
Ardmore ,OK,"24,810"
Arlington,VA,"209,969"
Arlington ,TX,"374,417"
Arlington Heights,IL,"73,399"
Arvada ,CO,"107,361"
Asheboro ,NC,"24,609"
Asheville ,NC,"74,543"
Atascadero ,CA,"28,452"
Athens,GA,"113,398"
Atlanta ,GA,"537,958"
Atlantic City ,NJ,"39,408"
Attleboro ,MA,"42,833"
Atwater ,CA,"26,565"
Auburn ,AL,"56,088"
Augusta,GA,"194,149"
Aurora ,CO,"319,057"
Austin ,TX,"757,688"
Aventura ,FL,"29,254"
Avon Lake ,OH,"23,996"
Avondale ,AZ,"81,299"
Azusa ,CA,"46,847"
Bakersfield ,CA,"321,078"
Baldwin Park ,CA,"77,380"
Ballwin ,MO,"30,033"
Baltimore ,MD,"636,919"
Bangor ,ME,"31,756"
Banning ,CA,"28,917"
Barberton ,OH,"26,581"
Barnstable Town ,MA,"46,184"
Barstow ,CA,"24,596"
Bartlesville ,OK,"35,914"
Bartlett,IL,"42,209"
Bartlett ,TN,"47,501"
Batavia ,IL,"27,502"
Baton Rouge ,LA,"223,689"
Battle Creek ,MI,"52,053"
Bay City ,MI,"33,874"
Bayonne ,NJ,"57,448"
Baytown ,TX,"70,330"
Beaumont ,TX,"110,553"
Beavercreek ,OH,"39,909"
Beaverton ,OR,"91,757"
Bedford ,TX,"49,155"
Bell ,CA,"36,657"
Bell Gardens ,CA,"44,692"
Belleville ,IL,"41,097"
Bellevue ,WA,"123,771"
Bellflower ,CA,"73,033"
Bellingham ,WA,"78,905"
Belmont ,CA,"24,776"
Beloit ,WI,"36,160"
Belton ,MO,"24,591"
Belvidere ,IL,"26,461"
Bend ,OR,"77,181"
Benicia ,CA,"26,174"
Benton ,AR,"29,452"
Bentonville ,AR,"35,526"
Bergenfield,NJ,"25,611"
Berkeley ,CA,"101,371"
Berwyn ,IL,"49,919"
Bessemer ,AL,"28,542"
Bethel Park,PA,"31,562"
Bethlehem ,PA,"72,241"
Bettendorf ,IA,"32,584"
Beverly ,MA,"39,343"
Beverly Hills ,CA,"34,445"
Big Spring ,TX,"24,270"
Billings ,MT,"103,994"
Biloxi ,MS,"45,670"
Binghamton ,NY,"44,729"
Birmingham ,AL,"228,798"
Bismarck ,ND,"60,389"
Blacksburg,VA,"41,796"
Blaine ,MN,"55,042"
Bloomington ,MN,"81,280"
Blue Springs ,MO,"55,698"
Boca Raton ,FL,"85,670"
Boise City ,ID,"205,314"
Bolingbrook,IL,"70,823"
Bonita Springs ,FL,"42,730"
Bossier City ,LA,"62,384"
Boston ,MA,"609,023"
Bothell ,WA,"32,307"
Boulder ,CO,"94,171"
Bountiful ,UT,"44,473"
Bowie ,MD,"52,544"
Bowling Green ,KY,"55,097"
Boynton Beach ,FL,"68,291"
Bozeman ,MT,"39,442"
Bradenton ,FL,"53,513"
Brea ,CA,"38,314"
Bremerton ,WA,"36,006"
Brentwood ,CA,"49,480"
Bridgeport ,CT,"136,405"
Bridgeton ,NJ,"24,742"
Brighton ,CO,"31,380"
Bristol ,CT,"60,927"
Brockton ,MA,"93,007"
Broken Arrow ,OK,"92,931"
Brookfield ,WI,"39,020"
Brooklyn Center ,MN,"27,402"
Brooklyn Park ,MN,"71,308"
Broomfield ,CO,"54,858"
Brownsville ,TX,"175,494"
Brunswick ,OH,"34,711"
Bryan ,TX,"72,357"
Buckeye,AZ,"47,261"
Buena Park ,CA,"79,379"
Buffalo ,NY,"270,919"
Buffalo Grove,IL,"42,972"
Bullhead City ,AZ,"40,868"
Burbank ,CA,"102,968"
Burien ,WA,"31,316"
Burleson ,TX,"34,908"
Burlingame ,CA,"27,706"
Burlington ,VT,"38,897"
Burnsville ,MN,"59,139"
Burton ,MI,"29,845"
Butte-Silver Bow,MT,"32,119"
Cabot ,AR,"23,614"
Caldwell ,ID,"42,331"
Caledonia,WI,"24,220"
Calexico ,CA,"38,344"
Calumet City ,IL,"36,800"
Camarillo ,CA,"63,324"
Cambridge ,MA,"105,596"
Camden ,NJ,"79,383"
Campbell ,CA,"38,617"
Canton ,OH,"78,362"
Cape Coral ,FL,"156,835"
Cape Girardeau ,MO,"37,370"
Carbondale ,IL,"26,231"
Carlsbad ,CA,"96,374"
Carmel ,IN,"66,769"
Carol Stream,IL,"40,004"
Carpentersville,IL,"37,741"
Carrollton ,TX,"125,595"
Carson ,CA,"92,366"
